review_id,signal_id,camera_id,track_id,classification,review_timestamp,evidence_ref,clip_evidence_ref,clip_sha256,static_evidence_sufficient,temporal_evidence_sufficient,comparison_notes
SRR-4ace87f1a99efd2fd630,BS-138E9D79FC2D8909,cam_03,TRK-cam_03-000008,BENIGN_ACTIVITY,2026-08-20T20:10:17.057022+00:00,cam_03/EVD-792103D43A4D461485AC50B3CE21BEF4/frame.jpg,clips/cam_03/CLP-01F7B937A9504B5BA6D24BBEB7C88AC3.mp4,98abac9fdbd370d5de48873fb207e9810d635865c9bf826669461f7e334fc8e9,UNCERTAIN,NOT_AVAILABLE,sin datos personales
SRR-75d2930a0d138078fa20,BS-AE100C38C7ACF475,cam_06,TRK-cam_06-000005,USEFUL_SIGNAL,2026-08-20T20:10:41.391725+00:00,cam_06/EVD-C7CBBBD02A9F447ABC0ADB7D8C6AA0EC/frame.jpg,clips/cam_06/CLP-403C0CF5B4D949868BA2B3F7F6D1435D.mp4,3ccdcd69bc809116020d9886a150346e74d448d0ea1244b99cdf9eb4a60d791e,YES,NOT_AVAILABLE,sin datos personales
SRR-a958b82e8c0be8e33bca,BS-0BD8134BB941EDB6,cam_09,TRK-cam_09-000131,BENIGN_ACTIVITY,2026-08-20T20:10:59.649399+00:00,cam_09/EVD-E075A531890A4CFC9205098BE543F663/frame.jpg,clips/cam_09/CLP-F4C4656EFE15423FBC0AF2E0CD22273E.mp4,106808e8b69564cd5548e194ac8698f8ded905b2b969cdf1083232a2b3f16312,YES,NOT_AVAILABLE,sin datos personales
SRR-683651b68761c02969f0,BS-EEE9E0B909DED18F,cam_12,TRK-cam_12-000047,BENIGN_ACTIVITY,2026-08-20T20:11:07.521441+00:00,cam_12/EVD-378155E58976451CA72938FD1C094DBE/frame.jpg,clips/cam_12/CLP-A220468800214D90BBDC467EA3DEEF0D.mp4,3527a0bbb6d056d485a9f2b410f7b94fc3118525a3d14c83acc583b0d466be14,NOT_AVAILABLE,NOT_AVAILABLE,sin datos personales
