elapsed_s,pid,ram_mb,handles,threads,tcp554,all_healthy,health_json
50.2,23860,231.3,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 908, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 297, ""stall_count"": 0, ""readable_frames"": 444, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 141, ""stall_count"": 0, ""readable_frames"": 368, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 400, ""queue_depth"": 8, ""last_error"": """"}}"
55.2,23860,230.9,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 108, ""stall_count"": 0, ""readable_frames"": 982, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 92, ""stall_count"": 0, ""readable_frames"": 480, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 14, ""stall_count"": 0, ""readable_frames"": 404, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 500, ""stall_count"": 0, ""readable_frames"": 432, ""queue_depth"": 8, ""last_error"": """"}}"
60.2,23860,230.9,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 61, ""stall_count"": 0, ""readable_frames"": 1058, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 108, ""stall_count"": 0, ""readable_frames"": 515, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 155, ""stall_count"": 0, ""readable_frames"": 438, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 61, ""stall_count"": 0, ""readable_frames"": 470, ""queue_depth"": 8, ""last_error"": """"}}"
65.2,23860,230.9,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 62, ""stall_count"": 0, ""readable_frames"": 1132, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 0, ""stall_count"": 0, ""readable_frames"": 551, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 46, ""stall_count"": 0, ""readable_frames"": 474, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 77, ""stall_count"": 0, ""readable_frames"": 505, ""queue_depth"": 8, ""last_error"": """"}}"
70.2,23860,231.3,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 15, ""stall_count"": 0, ""readable_frames"": 1209, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 625, ""stall_count"": 0, ""readable_frames"": 582, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 509, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 77, ""stall_count"": 0, ""readable_frames"": 540, ""queue_depth"": 8, ""last_error"": """"}}"
75.2,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 47, ""stall_count"": 0, ""readable_frames"": 1284, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 250, ""stall_count"": 0, ""readable_frames"": 619, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 31, ""stall_count"": 0, ""readable_frames"": 544, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 77, ""stall_count"": 0, ""readable_frames"": 575, ""queue_depth"": 8, ""last_error"": """"}}"
80.3,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 47, ""stall_count"": 0, ""readable_frames"": 1359, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 47, ""stall_count"": 0, ""readable_frames"": 656, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 93, ""stall_count"": 0, ""readable_frames"": 579, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 125, ""stall_count"": 0, ""readable_frames"": 610, ""queue_depth"": 8, ""last_error"": """"}}"
85.3,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 78, ""stall_count"": 0, ""readable_frames"": 1434, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 78, ""stall_count"": 0, ""readable_frames"": 691, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 108, ""stall_count"": 0, ""readable_frames"": 614, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 1625, ""stall_count"": 0, ""readable_frames"": 635, ""queue_depth"": 8, ""last_error"": """"}}"
90.3,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 1510, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 94, ""stall_count"": 0, ""readable_frames"": 725, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 110, ""stall_count"": 0, ""readable_frames"": 649, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 16, ""stall_count"": 0, ""readable_frames"": 681, ""queue_depth"": 8, ""last_error"": """"}}"
95.3,23860,231.2,575,9,4,True,"{""CAM-07"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 15.0, ""resolution"": ""1280x720"", ""last_frame_age_ms"": 30, ""stall_count"": 0, ""readable_frames"": 1585, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-01"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 92, ""stall_count"": 0, ""readable_frames"": 761, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-05"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 125, ""stall_count"": 0, ""readable_frames"": 684, ""queue_depth"": 8, ""last_error"": """"}, ""CAM-03"": {""state"": ""OPEN"", ""healthy"": true, ""fps"": 7.0, ""resolution"": ""352x240"", ""last_frame_age_ms"": 30, ""stall_count"": 0, ""readable_frames"": 716, ""queue_depth"": 8, ""last_error"": """"}}"
